recipe_name,clean_recipe_name,meal_type,cuisine_type,dish_type,ingredients,main_ingredients,calories,protein,carbs,fat,servings,url,everyday_fit_score
Black Bean Soup,Black Bean Soup,"[""lunch/dinner""]","[""american""]","[""soup""]","[{'food': 'ham steak', 'text': '1 pound fully cooked bone-in ham steak', 'weight': 453.59237, 'measure': 'pound', 'quantity': 1}, {'food': 'olive oil', 'text': '1 tablespoon olive oil', 'weight': 13.5, 'measure': 'tablespoon', 'quantity': 1}, {'food': 'onion', 'text': '1 medium onion, chopped (about 1 cup)', 'weight': 160, 'measure': 'cup', 'quantity': 1}, {'food': 'garlic', 'text': '2 garlic cloves, minced', 'weight': 6, 'measure': 'clove', 'quantity': 2}, {'food': 'water', 'text': '8 cups water', 'weight': 1892.705892, 'measure': 'cup', 'quantity': 8}, {'food': 'carrots', 'text': '2 medium carrots, sliced (about ½ cup)', 'weight': 61, 'measure': 'cup', 'quantity': 0.5}, {'food': 'cooked black beans', 'text': '3 cups cooked black beans, drained', 'weight': 516, 'measure': 'cup', 'quantity': 3}, {'food': 'Salt', 'text': 'Salt and freshly ground black pepper to taste', 'weight': 19.977566682, 'measure': None, 'quantity': 0}, {'food': 'black pepper', 'text': 'Salt and freshly ground black pepper to taste', 'weight': 9.988783341000001, 'measure': None, 'quantity': 0}, {'food': 'spinach', 'text': '½ pound spinach, rinsed very well and torn into bite-size pieces', 'weight': 226.796185, 'measure': 'pound', 'quantity': 0.5}]","['ham steak', 'onion', 'garlic', 'carrots', 'black beans', 'spinach']",1851.0,181.81,158.91,55.54,8.0,http://www.cookstr.com/recipes/black-bean-soup-4-bonnie-tandy-leblang,110
Vanilla Custard,Vanilla Custard,"[""snack""]","[""american""]","[""desserts""]","[{'food': 'sugar', 'text': '3/4 cup ( 150 g ) sugar', 'weight': 150, 'measure': 'gram', 'quantity': 150}, {'food': 'cornstarch', 'text': '1/4 cup ( 28 g ) cornstarch', 'weight': 28, 'measure': 'gram', 'quantity': 28}, {'food': 'kosher salt', 'text': '1/4 teaspoon kosher salt', 'weight': 1.213541666728219, 'measure': 'teaspoon', 'quantity': 0.25}, {'food': 'egg yolks', 'text': '6 large egg yolks', 'weight': 102, 'measure': '<unit>', 'quantity': 6}, {'food': 'whole milk', 'text': '2 cups ( 480 ml ) whole milk', 'weight': 495.0372923549814, 'measure': 'milliliter', 'quantity': 480}, {'food': 'heavy cream', 'text': '1 cup ( 240 ml ) heavy cream', 'weight': 241.8378903635811, 'measure': 'milliliter', 'quantity': 240}, {'food': 'unsalted butter', 'text': '2 tablespoons (28g) unsalted butter', 'weight': 28, 'measure': 'gram', 'quantity': 28}, {'food': 'vanilla extract', 'text': '1 tablespoon vanilla extract', 'weight': 13, 'measure': 'tablespoon', 'quantity': 1}]","['sugar', 'cornstarch', 'egg yolks', 'milk', 'heavy cream', 'unsalted butter']",2378.04,39.0,211.51,153.15,8.0,https://www.simplyrecipes.com/vanilla-custard-recipe-5271484,110
Fresh Tomato Shrimp Pasta,Fresh Tomato Shrimp Pasta,"[""lunch/dinner""]","[""italian""]","[""main course""]","[{'food': 'pasta', 'text': '8 ounces dry fettuccine pasta', 'weight': 226.796185, 'measure': 'ounce', 'quantity': 8}, {'food': 'garlic', 'text': '3 cloves garlic', 'weight': 9, 'measure': 'clove', 'quantity': 3}, {'food': 'sweet onion', 'text': '0.5 sweet onion, cut into wedges', 'weight': 165.5, 'measure': '<unit>', 'quantity': 0.5}, {'food': 'oregano', 'text': '3 tablespoons fresh oregano leaves', 'weight': 8.999999999847837, 'measure': 'tablespoon', 'quantity': 3}, {'food': 'olive oil', 'text': '4 tablespoons olive oil', 'weight': 54, 'measure': 'tablespoon', 'quantity': 4}, {'food': 'tomatoes', 'text': '4 medium tomatoes, chopped', 'weight': 492, 'measure': '<unit>', 'quantity': 4}, {'food': 'fresh basil', 'text': '3 tablespoons chopped fresh basil', 'weight': 7.949999999999999, 'measure': 'tablespoon', 'quantity': 3}, {'food': 'salt', 'text': 'salt and pepper to taste', 'weight': 10.04780843999909, 'measure': None, 'quantity': 0}, {'food': 'pepper', 'text': 'salt and pepper to taste', 'weight': 5.023904219999544, 'measure': None, 'quantity': 0}, {'food': 'spinach', 'text': '1 cup spinach leaves', 'weight': 30, 'measure': 'cup', 'quantity': 1}, {'food': 'cooked shrimp', 'text': '1 pound cooked shrimp - peeled and deveined', 'weight': 453.59237, 'measure': 'pound', 'quantity': 1}, {'food': 'mozzarella cheese', 'text': '8 ounces fresh mozzarella cheese, diced', 'weight': 226.796185, 'measure': 'ounce', 'quantity': 8}]","['pasta', 'garlic', 'sweet onion', 'tomatoes', 'spinach', 'shrimp', 'mozzarella cheese']",2779.88,190.56,227.24,122.81,4.0,https://www.allrecipes.com/recipe/87648/fresh-tomato-shrimp-pasta,110
Jerusalem Mixed Grill,Jerusalem Mixed Grill,"[""lunch/dinner""]","[""mediterranean""]","[""main course""]","[{'food': 'turmeric', 'text': '2 tsp. turmeric', 'weight': 6, 'measure': 'teaspoon', 'quantity': 2}, {'food': 'black peppercorns', 'text': '1 tsp. black peppercorns', 'weight': 2.9, 'measure': 'teaspoon', 'quantity': 1}, {'food': 'allspice berries', 'text': '1 tsp. allspice berries', 'weight': 1.9, 'measure': 'teaspoon', 'quantity': 1}, {'food': 'ground cinnamon', 'text': '1⁄4 tsp. ground cinnamon', 'weight': 0.65, 'measure': 'teaspoon', 'quantity': 0.25}, {'food': 'grated nutmeg', 'text': '1⁄4 tsp. freshly grated nutmeg', 'weight': 0.55, 'measure': 'teaspoon', 'quantity': 0.25}, {'food': 'chicken breasts', 'text': '1⁄2 lb. chicken breasts, cut into 1″ cubes', 'weight': 226.796185, 'measure': 'pound', 'quantity': 0.5}, {'food': 'chicken hearts', 'text': '1⁄2 lb. chicken hearts, halved and rinsed', 'weight': 226.796185, 'measure': 'pound', 'quantity': 0.5}, {'food': 'chicken livers', 'text': '1⁄2 lb. chicken livers, rinsed and roughly chopped', 'weight': 226.796185, 'measure': 'pound', 'quantity': 0.5}, {'food': 'extra-virgin olive oil', 'text': '2 tbsp. extra-virgin olive oil', 'weight': 27, 'measure': 'tablespoon', 'quantity': 2}, {'food': 'yellow onions', 'text': '2 large yellow onions, roughly chopped', 'weight': 300, 'measure': '<unit>', 'quantity': 2}, {'food': 'Kosher salt', 'text': 'Kosher salt, to taste', 'weight': 6.56033133, 'measure': None, 'quantity': 0}, {'food': 'pitas', 'text': 'Fresh pitas, for serving', 'weight': 64, 'measure': 'serving', 'quantity': 1}, {'food': 'peppers', 'text': 'Amba and pickled peppers for serving', 'weight': 10, 'measure': 'serving', 'quantity': 1}]","['black peppercorns', 'allspice berries', 'chicken breasts', 'chicken hearts', 'chicken livers', 'yellow onions', 'pitas', 'peppers']",1452.89,135.45,75.57,67.13,6.0,https://www.saveur.com/article/Recipes/Jerusalem-Mixed-Grill/,110
Rustic Apricot Crostata,Rustic Apricot Crostata,"[""lunch/dinner""]","[""mediterranean""]","[""desserts""]","[{'food': 'blanched almonds', 'text': '1/2 c. blanched almonds', 'weight': 72.5, 'measure': 'cup', 'quantity': 0.5}, {'food': 'cornstarch', 'text': '3 tbsp. cornstarch', 'weight': 23.99999999959423, 'measure': 'tablespoon', 'quantity': 3}, {'food': 'all-purpose flour', 'text': '2 1/2 c. all-purpose flour', 'weight': 312.5, 'measure': 'cup', 'quantity': 2.5}, {'food': 'salt', 'text': '1/4 tsp. salt', 'weight': 1.5, 'measure': 'teaspoon', 'quantity': 0.25}, {'food': 'butter', 'text': '1 c. butter (no substitutions)', 'weight': 227, 'measure': 'cup', 'quantity': 1}, {'food': 'sugar', 'text': '1/2 c. sugar', 'weight': 100, 'measure': 'cup', 'quantity': 0.5}, {'food': 'sugar', 'text': '2 tsp. sugar', 'weight': 8.4, 'measure': 'teaspoon', 'quantity': 2}, {'food': 'egg', 'text': '1 large egg', 'weight': 50, 'measure': '<unit>', 'quantity': 1}, {'food': 'vanilla extract', 'text': '2 tsp. vanilla extract', 'weight': 8.4, 'measure': 'teaspoon', 'quantity': 2}, {'food': 'preserves', 'text': '1 jar apricot or other favorite preserves (1 cup)', 'weight': 320.0000000054102, 'measure': 'cup', 'quantity': 1}, {'food': 'egg yolk', 'text': '1 large egg yolk', 'weight': 17, 'measure': '<unit>', 'quantity': 1}, {'food': 'water', 'text': '1 tbsp. water', 'weight': 14.786764781, 'measure': 'tablespoon', 'quantity': 1}]","['blanched almonds', 'cornstarch', 'all purpose flour', 'butter', 'sugar', 'egg', 'preserves', 'egg yolk']",4743.82,59.89,604.95,234.72,12.0,https://www.goodhousekeeping.com/food-recipes/a8452/rustic-apricot-crostata-recipe-ghk0510,110
Double Corn Jalapeno Bread,Double Corn Jalapeno Bread,"[""lunch/dinner""]","[""south american""]","[""bread""]","[{'food': 'water', 'text': '3/4 cup water', 'weight': 177.441177375, 'measure': 'cup', 'quantity': 0.75}, {'food': 'water', 'text': '2 tablespoon water', 'weight': 29.573529562, 'measure': 'tablespoon', 'quantity': 2}, {'food': 'corn', 'text': '2/3 cup frozen whole kernel corn', 'weight': 96.66666666666666, 'measure': 'cup', 'quantity': 0.6666666666666666}, {'food': 'unsalted butter', 'text': '2 tablespoon unsalted butter', 'weight': 28.4, 'measure': 'tablespoon', 'quantity': 2}, {'food': 'jalapeno chili', 'text': '1 tablespoon jalapeno chili', 'weight': 5.624999999904898, 'measure': 'tablespoon', 'quantity': 1}, {'food': 'bread flour', 'text': '3 1/4 cups bread flour', 'weight': 445.25, 'measure': 'cup', 'quantity': 3.25}, {'food': 'cornmeal', 'text': '1/3 cup cornmeal', 'weight': 52.33333333333333, 'measure': 'cup', 'quantity': 0.3333333333333333}, {'food': 'sugar', 'text': '2 tablespoon sugar', 'weight': 25, 'measure': 'tablespoon', 'quantity': 2}, {'food': 'salt', 'text': '1 1/2 teaspoon salt', 'weight': 9, 'measure': 'teaspoon', 'quantity': 1.5}, {'food': 'yeast', 'text': '2 1/2 teaspoon quick active dry yeast', 'weight': 10, 'measure': 'teaspoon', 'quantity': 2.5}]","['corn', 'unsalted butter', 'jalapeno chili', 'bread flour', 'cornmeal', 'sugar', 'yeast']",2218.63,64.64,411.94,33.43,12.0,http://www.bigoven.com/recipe/Double-Corn-Jalapeno-Bread/175674,110
Loaded Potato Croquettes,Loaded Potato Croquettes,"[""lunch/dinner""]","[""japanese""]","[""starter""]","[{'food': 'Vegetable oil', 'text': 'Vegetable oil, for frying', 'weight': 8.790577222223897, 'measure': None, 'quantity': 0}, {'food': 'mashed potatoes', 'text': '1 cup leftover mashed potatoes', 'weight': 242, 'measure': 'cup', 'quantity': 1}, {'food': 'Cheddar', 'text': '1/2 cup grated Cheddar', 'weight': 66, 'measure': 'cup', 'quantity': 0.5}, {'food': 'ham', 'text': '1/2 cup finely diced ham', 'weight': 113.4, 'measure': 'cup', 'quantity': 0.5}, {'food': 'scallion', 'text': '1 scallion, thinly sliced', 'weight': 13.88888888888889, 'measure': '<unit>', 'quantity': 1}, {'food': 'all-purpose flour', 'text': '1/2 cup all-purpose flour', 'weight': 62.5, 'measure': 'cup', 'quantity': 0.5}, {'food': 'kosher salt', 'text': '1/2 teaspoon kosher salt, plus more for sprinkling', 'weight': 2.427083333456438, 'measure': 'teaspoon', 'quantity': 0.5}, {'food': 'black pepper', 'text': '1/2 teaspoon freshly ground black pepper', 'weight': 1.15, 'measure': 'teaspoon', 'quantity': 0.5}, {'food': 'eggs', 'text': '2 large eggs, beaten', 'weight': 100, 'measure': '<unit>', 'quantity': 2}, {'food': 'panko breadcrumbs', 'text': '2/3 cup panko breadcrumbs', 'weight': 40, 'measure': 'cup', 'quantity': 0.6666666666666666}, {'food': 'parsley', 'text': 'Chopped fresh parsley or chives, for serving', 'weight': 5, 'measure': 'serving', 'quantity': 1}]","['mashed potatoes', 'cheddar', 'ham', 'scallion', 'all purpose flour', 'eggs', 'panko breadcrumbs']",2108.69,61.18,116.04,156.2,10.0,https://www.foodnetwork.com/recipes/ree-drummond/loaded-potato-croquettes-13394284,110
Chelsey's Strawberry Salad with Poppy Seed Dressing,Chelsey'S Strawberry Salad With Poppy Seed Dressing,"[""lunch/dinner""]","[""american""]","[""salad""]","[{'food': 'lettuce', 'text': '1 head green leaf lettuce - rinsed, dried, and chopped', 'weight': 5, 'measure': 'leaf', 'quantity': 1}, {'food': 'red onion', 'text': '1 red onion, sliced into rings', 'weight': 125, 'measure': '<unit>', 'quantity': 1}, {'food': 'strawberries', 'text': '1 pint strawberries, halved', 'weight': 357, 'measure': 'pint', 'quantity': 1}, {'food': 'salad dressing', 'text': '0.5 cup creamy salad dressing (such as Miracle Whip®)', 'weight': 125, 'measure': 'cup', 'quantity': 0.5}, {'food': 'white sugar', 'text': '0.25 cup white sugar', 'weight': 50, 'measure': 'cup', 'quantity': 0.25}, {'food': 'milk', 'text': '0.25 cup milk', 'weight': 61, 'measure': 'cup', 'quantity': 0.25}, {'food': 'white vinegar', 'text': '2 tablespoons white vinegar', 'weight': 29.8, 'measure': 'tablespoon', 'quantity': 2}, {'food': 'poppy seeds', 'text': '1 tablespoon poppy seeds', 'weight': 8.8, 'measure': 'tablespoon', 'quantity': 1}]","['lettuce', 'red onion', 'strawberries', 'salad dressing', 'white sugar', 'milk', 'white vinegar', 'poppy seeds']",1008.41,7.34,97.74,69.48,6.0,https://www.allrecipes.com/recipe/244320/chelseys-strawberry-salad-with-poppy-seed-dressing,110
Cheesy Pepperoni Parmesan Pizza,Cheesy Pepperoni Parmesan Pizza,"[""lunch/dinner""]","[""italian""]","[""main course""]","[{'food': 'all-purpose flour', 'text': '5 cups all-purpose flour, divided', 'weight': 625, 'measure': 'cup', 'quantity': 5}, {'food': 'Parmesan Cheese', 'text': '1 cup Kraft® Grated Parmesan Cheese', 'weight': 148.70625, 'measure': 'cup', 'quantity': 1}, {'food': 'yeast', 'text': '1 teaspoon fast-rising dry yeast', 'weight': 4, 'measure': 'teaspoon', 'quantity': 1}, {'food': 'salt', 'text': '½ teaspoon salt', 'weight': 3, 'measure': 'teaspoon', 'quantity': 0.5}, {'food': 'water', 'text': '2 cups cold water', 'weight': 473.176473, 'measure': 'cup', 'quantity': 2}, {'food': 'olive oil', 'text': '¼ cup olive oil', 'weight': 54, 'measure': 'cup', 'quantity': 0.25}, {'food': 'Tomato Sauce', 'text': ""½ cup Hunt's® Tomato Sauce with Basil, Garlic and Oregano"", 'weight': 122.5, 'measure': 'cup', 'quantity': 0.5}, {'food': 'Diced Tomatoes', 'text': ""1 can (14.5 oz each) Hunt's® Diced Tomatoes, drained"", 'weight': 411.0680853125, 'measure': 'ounce', 'quantity': 14.5}, {'food': 'Mozzarella Cheese', 'text': '2 cups Kraft® Shredded Mozzarella Cheese', 'weight': 519.75, 'measure': 'cup', 'quantity': 2}, {'food': 'Pepperoni', 'text': '10 slices Oscar Mayer® Pepperoni', 'weight': 20, 'measure': 'slice', 'quantity': 10}, {'food': 'Parmesan Cheese', 'text': '1 tablespoon Kraft® Grated Parmesan Cheese', 'weight': 9.294140625, 'measure': 'tablespoon', 'quantity': 1}]","['all purpose flour', 'parmesan cheese', 'yeast', 'tomato sauce', 'tomatoes', 'mozzarella cheese', 'pepperoni']",5233.5,243.38,517.45,238.44,6.0,https://www.foodnetwork.com/recipes/cheesy-pepperoni-parmesan-pizza-3361902,110
Southwestern Soup Recipe 4,Southwestern Soup Recipe 4,"[""lunch/dinner""]","[""american""]","[""soup""]","[{'food': 'water', 'text': '3 cups water', 'weight': 709.7647095, 'measure': 'cup', 'quantity': 3}, {'food': 'tomato sauce', 'text': '4 cans (8 ounces each) tomato sauce', 'weight': 907.18474, 'measure': 'ounce', 'quantity': 32}, {'food': 'kidney beans', 'text': '2 cans (16 ounces each) kidney beans, rinsed and drained', 'weight': 907.18474, 'measure': 'ounce', 'quantity': 32}, {'food': 'chicken broth', 'text': '2 cans (14-1/ounces each) chicken broth', 'weight': 56.69904625, 'measure': 'ounce', 'quantity': 2}, {'food': 'frozen corn', 'text': '2 cups frozen corn', 'weight': 272, 'measure': 'cup', 'quantity': 2}, {'food': 'salsa', 'text': '2 cups salsa', 'weight': 518, 'measure': 'cup', 'quantity': 2}, {'food': 'onion', 'text': '2 teaspoons dried minced onion', 'weight': 6.666666667004808, 'measure': 'teaspoon', 'quantity': 2}, {'food': 'dried oregano', 'text': '1 to 2 teaspoons dried oregano', 'weight': 1.5, 'measure': 'teaspoon', 'quantity': 1.5}, {'food': 'dried basil', 'text': '1 to 2 teaspoons dried basil', 'weight': 1.05, 'measure': 'teaspoon', 'quantity': 1.5}, {'food': 'cheddar cheese', 'text': '2 cups (8 ounces) shredded cheddar cheese', 'weight': 226.796185, 'measure': 'ounce', 'quantity': 8}, {'food': 'Tortilla chips', 'text': 'Tortilla chips, optional', 'weight': 0, 'measure': None, 'quantity': 0}]","['tomato sauce', 'kidney beans', 'chicken broth', 'corn', 'salsa', 'onion', 'cheddar cheese', 'tortilla chips']",2312.83,128.14,282.22,87.48,12.0,http://www.tasteofhome.com/Recipes/Southwestern-Soup,110
