barcode,item_name,product_name,brand,category,quantity,unit,container_type,storage_area,source,source_url,match_score,search_term
00263665,extra lean ground beef,Extra Lean Ground Beef,Trader Joe's,Protein,1,pack,pack,refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/00263665,140,extra lean ground beef
4901515122651,low sodium soy sauce,Low sodium Soy Sauce,Kikkoman,Condiment,1,item,bottle/jar,pantry/refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/4901515122651,130,low sodium soy sauce
0043454000875,plant-based chicken nuggets,Plant-Based Chicken Nuggets P Foodservice 00087,Lightlife,Protein,1,can,can,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0043454000875,130,plant-based chicken nuggets
0011110587374,Colby Jack cheese,Colby Jack Cheese,Kroger,Dairy,1,item,carton,refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0011110587374,125,Colby Jack cheese
0011150080897,Italian dressing mix,Italian Dressing Mix,Roundy's,Condiment,1,item,bottle/jar,pantry/refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0011150080897,125,Italian dressing mix
0036800372603,Yukon gold potatoes,Yukon Gold Potatoes,Harvest Club,Vegetable,1,item,bag/can,pantry/refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0036800372603,125,Yukon gold potatoes
0040100007219,active dry yeast,Active Dry Yeast,Fleischmann's,Spice/Baking,1,item,bottle/box,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0040100007219,125,active dry yeast
6111094002253,angel hair pasta,Extra Fine Angel Hair Pasta,Dari,Grain,1,item,bag/box,pantry/freezer,Open Food Facts,https://world.openfoodfacts.org/product/6111094002253,125,angel hair pasta
0074305001161,apple cider vinegar,APPLE CIDER VINEGAR,BRAGG,Condiment,1,item,bottle/jar,pantry/refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0074305001161,125,apple cider vinegar
0088702262056,apple pie filling,Apple Pie Filling,Bonne Maman,Spice/Baking,1,item,bottle/box,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0088702262056,125,apple pie filling
0037102281488,baby bella mushrooms,Baby Bella Mushrooms Whole,Monterey Mushrooms,Vegetable,1,item,bag/can,pantry/refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0037102281488,125,baby bella mushrooms
0681131180764,beef chuck roast,Slow Cooker Beef Chuck Roast with Vegetables,Marketside,Protein,1,pack,pack,refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0681131180764,125,beef chuck roast
0011110192585,beef ribeye steak,ANGUS BEEF RIBEYE STEAK,simple truth,Protein,1,pack,pack,refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0011110192585,125,beef ribeye steak
0041415634619,beef short ribs,Beef Short Ribs With Duchess Potatoes & Vegetables,Publix,Protein,1,pack,pack,refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0041415634619,125,beef short ribs
00248105,beef sirloin steak,British beef sirloin steak,Sainsbury's SO Organic,Protein,1,pack,pack,refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/00248105,125,beef sirloin steak
0028989100641,black bean burgers,Spicy Black Bean Burgers,MorningStar Farms,Protein,1,can,can,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0028989100641,125,black bean burgers
0041321006050,blue cheese dressing,Chunky Blue Cheese Dressing,Wish-Bone,Condiment,1,item,bottle/jar,pantry/refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0041321006050,125,blue cheese dressing
0028500100204,blueberry pie filling,Premium Blueberry Pie Filling Or Topping 2yrs prod,Lucky Leaf,Spice/Baking,1,item,bottle/box,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0028500100204,125,blueberry pie filling
0037600241540,boneless pork chops,Smoked boneless pork chops,"Hormel, Hormel Foods Corporation",Protein,1,pack,pack,refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0037600241540,125,boneless pork chops
0096619998456,canned roast beef,Canned Roast Beef,Kirkland,Canned Goods,1,can,can/jar,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0096619998456,125,canned roast beef
